id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
213,Hidden City,Mason Jones,Australian,Fiction,Literary Fiction,Portuguese,1961,341,Oxford Press,9781239829341,,,3.93,,A synthetic sample description generated for dataset testing and demonstrations.,"history,future,adventure",https://covers.openlibrary.org/b/isbn/9781239829341-L.jpg
214,Golden Key,Mia Garcia,Nigerian,Fiction,Contemporary,Korean,2002,739,Penguin Random House,9788339256824,,,4.4,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,love,crime",https://covers.openlibrary.org/b/isbn/9788339256824-L.jpg
215,Silent Compass,Sophia Smith,Pakistani,Fiction,Literary Fiction,Spanish,1997,807,Vintage,9780461842784,,,4.42,,A synthetic sample description generated for dataset testing and demonstrations.,"history,technology,redemption",https://covers.openlibrary.org/b/isbn/9780461842784-L.jpg
216,Crimson House,Henry Lopez,Nigerian,Romance,Contemporary Romance,Chinese,1992,190,Penguin Random House,9786028831208,,,4.22,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,technology,identity",https://covers.openlibrary.org/b/isbn/9786028831208-L.jpg
217,Shadows Promise,Harper Martinez,Japanese,Science Fiction,Space Opera,Korean,1962,529,Riverbend,9786764359318,,,3.79,,A synthetic sample description generated for dataset testing and demonstrations.,"love,betrayal,identity",https://covers.openlibrary.org/b/isbn/9786764359318-L.jpg
218,Golden City,Sophia Lopez,Australian,Poetry,Modern,Chinese,2022,732,IndieWorks,9788148551653,,,3.36,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,redemption,crime",https://covers.openlibrary.org/b/isbn/9788148551653-L.jpg
219,First River,Aiden Brown,Pakistani,Graphic Novel,Action,Italian,1959,565,GreenLeaf,9788200371274,,,4.58,,A synthetic sample description generated for dataset testing and demonstrations.,"war,mystery,future",https://covers.openlibrary.org/b/isbn/9788200371274-L.jpg
220,Crimson Promise,Amelia Gonzalez,Canadian,Young Adult,Contemporary,Korean,1956,762,Riverbend,9788673391007,Series 28,7,3.41,,A synthetic sample description generated for dataset testing and demonstrations.,"war,family,magic",https://covers.openlibrary.org/b/isbn/9788673391007-L.jpg
221,Midnight Compass,Mason Martin,Irish,Young Adult,Contemporary,French,1997,833,HarperCollins,9789017159499,,,3.8,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,technology,love",https://covers.openlibrary.org/b/isbn/9789017159499-L.jpg
222,Silent Promise,Isabella Taylor,Brazilian,Poetry,Modern,Korean,1974,667,HarperCollins,9789614832276,,,3.39,,A synthetic sample description generated for dataset testing and demonstrations.,"future,mystery,war",https://covers.openlibrary.org/b/isbn/9789614832276-L.jpg
223,First Garden,Charlotte Brown,Canadian,Young Adult,Contemporary,German,1987,746,Lotus Reads,9783462899955,,,4.59,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,love,family",https://covers.openlibrary.org/b/isbn/9783462899955-L.jpg
224,Silent Key,Aiden Anderson,Egyptian,Speculative,Magical Realism,Arabic,1963,278,Macmillan,9788652664146,,,4.51,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,technology,magic",https://covers.openlibrary.org/b/isbn/9788652664146-L.jpg
225,Golden Thread,Emma Jackson,Italian,Speculative,Magical Realism,English,1966,258,NeoPress,9789280831740,,,3.5,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,secrets,war",https://covers.openlibrary.org/b/isbn/9789280831740-L.jpg
226,Silent River,Liam Davis,Brazilian,Fiction,Contemporary,Portuguese,2014,383,Hachette,9788429023992,,,4.42,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,identity,history",https://covers.openlibrary.org/b/isbn/9788429023992-L.jpg
227,Last Lantern,Benjamin Thomas,Italian,Children,Picture Book,Chinese,1983,593,Cosmos Press,9788918893693,,,3.21,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,adventure,love",https://covers.openlibrary.org/b/isbn/9788918893693-L.jpg
228,Last Compass,Amelia Martinez,Russian,Science Fiction,Near-future,Japanese,2017,630,Faber & Faber,9783844402001,,,3.26,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,love",https://covers.openlibrary.org/b/isbn/9783844402001-L.jpg
229,Hidden Garden,Sophia Thomas,Canadian,Science Fiction,Space Opera,French,1996,859,Riverbend,9783163066632,Series 17,4,4.46,,A synthetic sample description generated for dataset testing and demonstrations.,"war,crime,secrets",https://covers.openlibrary.org/b/isbn/9783163066632-L.jpg
230,Crimson Promise,Aiden Brown,French,Nonfiction,Memoir,Spanish,1982,564,GreenLeaf,9784113118432,,,3.69,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,technology,love",https://covers.openlibrary.org/b/isbn/9784113118432-L.jpg
231,Last Thread,Charlotte Gonzalez,Korean,Fiction,Literary Fiction,French,2018,612,Cosmos Press,9782355220821,,,3.53,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,family,mystery",https://covers.openlibrary.org/b/isbn/9782355220821-L.jpg
232,Crimson River,Lucas Martin,Spanish,Historical Fiction,War-era,Spanish,1961,815,Simon & Schuster,9784267693267,,,4.38,,A synthetic sample description generated for dataset testing and demonstrations.,"love,secrets,identity",https://covers.openlibrary.org/b/isbn/9784267693267-L.jpg
233,Crimson City,Lucas Lopez,Japanese,Children,Picture Book,Hindi,2017,429,Simon & Schuster,9785157167882,Series 4,3,4.07,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,future,betrayal",https://covers.openlibrary.org/b/isbn/9785157167882-L.jpg
234,First Orchard,Mason Johnson,Korean,Historical Fiction,War-era,Japanese,1979,264,Macmillan,9782028793706,Series 9,3,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"history,family,adventure",https://covers.openlibrary.org/b/isbn/9782028793706-L.jpg
235,First City,Amelia Brown,Australian,Fantasy,Epic Fantasy,Italian,2000,329,Bloomsbury,9782878272147,,,4.59,,A synthetic sample description generated for dataset testing and demonstrations.,"love,future,technology",https://covers.openlibrary.org/b/isbn/9782878272147-L.jpg
236,Hidden Thread,Jack Lopez,Nigerian,Science Fiction,Near-future,Portuguese,1988,251,NovaWorks,9789426203820,,,3.64,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,crime,family",https://covers.openlibrary.org/b/isbn/9789426203820-L.jpg
237,Golden Key,Charlotte Hernandez,Korean,Fantasy,Urban Fantasy,Italian,2022,668,Simon & Schuster,9787236692865,,,3.77,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,secrets,war",https://covers.openlibrary.org/b/isbn/9787236692865-L.jpg
238,Silent Key,Amelia Anderson,Pakistani,Historical Fiction,War-era,German,1954,872,Faber & Faber,9789470281089,,,3.71,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,future,technology",https://covers.openlibrary.org/b/isbn/9789470281089-L.jpg
239,Silent Promise,Harper Brown,Canadian,Speculative,Magical Realism,English,1965,831,Macmillan,9786556288833,Series 4,3,4.1,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,crime,betrayal",https://covers.openlibrary.org/b/isbn/9786556288833-L.jpg
240,Crimson City,Emma Lopez,Pakistani,Horror,Gothic,Arabic,1967,201,NovaWorks,9786499953362,,,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,technology,secrets",https://covers.openlibrary.org/b/isbn/9786499953362-L.jpg
241,Crimson Promise,Sophia Smith,Nigerian,Children,Picture Book,Italian,1967,179,NovaWorks,9781722025151,,,4.08,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,war,redemption",https://covers.openlibrary.org/b/isbn/9781722025151-L.jpg
242,Golden Lantern,Harper Jackson,American,Children,Picture Book,Hindi,2022,642,NeoPress,9784119317105,,,4.15,,A synthetic sample description generated for dataset testing and demonstrations.,"future,crime,family",https://covers.openlibrary.org/b/isbn/9784119317105-L.jpg
243,Crimson Thread,Aiden Lopez,Russian,Mystery,Crime,Italian,1959,843,Cambridge Press,9784446564562,,,4.27,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,future,crime",https://covers.openlibrary.org/b/isbn/9784446564562-L.jpg
244,Shadows Key,Amelia Jackson,Irish,Fiction,Contemporary,Spanish,1993,86,Simon & Schuster,9784130556941,,,4.22,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,betrayal,magic",https://covers.openlibrary.org/b/isbn/9784130556941-L.jpg
245,Last Garden,Henry Gonzalez,Korean,Nonfiction,History,Japanese,2009,792,Cambridge Press,9787227878186,,,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,secrets,love",https://covers.openlibrary.org/b/isbn/9787227878186-L.jpg
246,Midnight Promise,Aiden Taylor,Nigerian,Graphic Novel,Action,English,1957,775,Cosmos Press,9783958803664,,,4.6,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,magic",https://covers.openlibrary.org/b/isbn/9783958803664-L.jpg
247,Shadows Garden,Benjamin Martinez,Swedish,Poetry,Modern,Spanish,1962,435,Macmillan,9781776577729,,,4.32,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,family,love",https://covers.openlibrary.org/b/isbn/9781776577729-L.jpg
248,Silent River,Isabella Smith,British,Historical Fiction,War-era,Portuguese,1957,345,Marea Editore,9786838963922,,,3.32,,A synthetic sample description generated for dataset testing and demonstrations.,"war,love,technology",https://covers.openlibrary.org/b/isbn/9786838963922-L.jpg
249,First Promise,Noah Davis,German,Poetry,Modern,Arabic,1978,694,HarperCollins,9781838775087,,,4.57,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,betrayal,redemption",https://covers.openlibrary.org/b/isbn/9781838775087-L.jpg
250,Golden Compass,Charlotte Thomas,Russian,Self-help,Personal Development,Japanese,2002,869,Hachette,9780830677078,,,4.34,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,identity,redemption",https://covers.openlibrary.org/b/isbn/9780830677078-L.jpg
251,Hidden Garden,James Jones,Egyptian,Romance,Contemporary Romance,Hindi,1982,786,GreenLeaf,9785034746612,Series 19,6,4.29,,A synthetic sample description generated for dataset testing and demonstrations.,"history,magic,love",https://covers.openlibrary.org/b/isbn/9785034746612-L.jpg
252,Shadows River,Aiden Jackson,Korean,Nonfiction,History,French,2023,724,Faber & Faber,9786050966916,,,4.32,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,adventure,technology",https://covers.openlibrary.org/b/isbn/9786050966916-L.jpg
253,Silent Orchard,Henry Johnson,French,Nonfiction,Memoir,English,1976,622,Hachette,9787511900227,,,3.98,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,adventure,betrayal",https://covers.openlibrary.org/b/isbn/9787511900227-L.jpg
254,Midnight River,James Lopez,French,Poetry,Modern,Chinese,1974,327,Faber & Faber,9783915972891,Series 28,5,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"family,technology,history",https://covers.openlibrary.org/b/isbn/9783915972891-L.jpg
255,Crimson Garden,Amelia Smith,Nigerian,Fantasy,Epic Fantasy,Portuguese,1988,839,Marea Editore,9787609919582,,,4.33,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,technology,history",https://covers.openlibrary.org/b/isbn/9787609919582-L.jpg
256,Hidden Lantern,Aria Davis,Italian,Young Adult,Contemporary,Portuguese,1963,858,Willow Books,9781113769343,,,4.28,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,crime,secrets",https://covers.openlibrary.org/b/isbn/9781113769343-L.jpg
257,Silent House,Mia Anderson,Australian,Mystery,Crime,Spanish,1988,95,Bloomsbury,9788622709969,,,3.81,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,family,identity",https://covers.openlibrary.org/b/isbn/9788622709969-L.jpg
258,First River,Jack Moore,American,Speculative,Magical Realism,English,2007,353,Cosmos Press,9789313871842,,,3.66,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,history,war",https://covers.openlibrary.org/b/isbn/9789313871842-L.jpg
259,Silent House,Mia Jackson,Australian,Thriller,Spy,Arabic,2021,261,Oxford Press,9788688939539,,,3.91,,A synthetic sample description generated for dataset testing and demonstrations.,"history,identity,love",https://covers.openlibrary.org/b/isbn/9788688939539-L.jpg
260,Crimson Orchard,Lucas Johnson,Spanish,Mystery,Crime,Japanese,1982,315,Simon & Schuster,9781356939411,,,4.11,,A synthetic sample description generated for dataset testing and demonstrations.,"history,crime,mystery",https://covers.openlibrary.org/b/isbn/9781356939411-L.jpg
261,First Garden,Aiden Taylor,Indian,Thriller,Spy,Hindi,2022,208,Bloomsbury,9788649845558,Series 3,6,3.53,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,magic,identity",https://covers.openlibrary.org/b/isbn/9788649845558-L.jpg
262,Shadows River,Mia Rodriguez,Nigerian,Horror,Gothic,Arabic,1989,397,Praia Azul,9783569314245,,,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"future,war,adventure",https://covers.openlibrary.org/b/isbn/9783569314245-L.jpg
263,Last Promise,Mia Jackson,Brazilian,Romance,Contemporary Romance,French,1999,819,Vintage,9781157329923,,,3.52,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,crime,future",https://covers.openlibrary.org/b/isbn/9781157329923-L.jpg
264,First Compass,Isabella Lopez,Korean,Science Fiction,Space Opera,Japanese,1960,874,Oxford Press,9789301197169,,,3.95,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,mystery,secrets",https://covers.openlibrary.org/b/isbn/9789301197169-L.jpg
265,Hidden Promise,Sophia Anderson,American,Science Fiction,Near-future,German,1957,279,Willow Books,9783973211925,,,4.17,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,history,magic",https://covers.openlibrary.org/b/isbn/9783973211925-L.jpg
266,Shadows River,James Rodriguez,Chinese,Self-help,Personal Development,Spanish,1951,198,Hachette,9789001453947,,,3.56,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,family,mystery",https://covers.openlibrary.org/b/isbn/9789001453947-L.jpg
267,Silent House,Lucas Moore,Nigerian,Nonfiction,History,Spanish,1958,594,Simon & Schuster,9780088639163,,,4.15,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,betrayal",https://covers.openlibrary.org/b/isbn/9780088639163-L.jpg
268,Shadows Key,Aria Rodriguez,German,Nonfiction,Memoir,Spanish,2016,101,HarperCollins,9781848139848,Series 8,3,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,family,war",https://covers.openlibrary.org/b/isbn/9781848139848-L.jpg
269,Hidden Lantern,Amelia Gonzalez,Nigerian,Science Fiction,Space Opera,Japanese,1993,802,Marea Editore,9785623594129,Series 29,5,3.59,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,betrayal",https://covers.openlibrary.org/b/isbn/9785623594129-L.jpg
270,First City,Liam Anderson,Australian,Poetry,Modern,German,2024,243,HarperCollins,9781871104417,,,3.41,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,redemption,war",https://covers.openlibrary.org/b/isbn/9781871104417-L.jpg
271,Crimson Key,Luna Smith,Nigerian,Nonfiction,Memoir,Italian,1989,170,Lotus Reads,9784901705011,,,4.55,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,love,crime",https://covers.openlibrary.org/b/isbn/9784901705011-L.jpg
272,Shadows Thread,Aria Jackson,Brazilian,Horror,Gothic,Korean,2017,813,Faber & Faber,9781311193308,,,3.89,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,future,magic",https://covers.openlibrary.org/b/isbn/9781311193308-L.jpg
273,Shadows Lantern,Emma Brown,Pakistani,Mystery,Psychological Thriller,Italian,1959,660,Oxford Press,9781738278282,,,3.93,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,love,adventure",https://covers.openlibrary.org/b/isbn/9781738278282-L.jpg
274,Silent Promise,Henry Hernandez,Mexican,Self-help,Personal Development,Portuguese,2006,386,Penguin Random House,9780165317977,,,3.83,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,future,magic",https://covers.openlibrary.org/b/isbn/9780165317977-L.jpg
275,First Thread,Henry Martin,Brazilian,Poetry,Modern,Italian,1973,163,Praia Azul,9783392511057,,,4.48,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,identity,war",https://covers.openlibrary.org/b/isbn/9783392511057-L.jpg
276,Silent Promise,Noah Brown,French,Thriller,Spy,French,1956,302,NeoPress,9781425524005,Series 5,1,4.5,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,betrayal,technology",https://covers.openlibrary.org/b/isbn/9781425524005-L.jpg
277,Silent City,Olivia Johnson,Egyptian,Self-help,Personal Development,Chinese,2019,732,Bloomsbury,9785805180317,,,3.39,,A synthetic sample description generated for dataset testing and demonstrations.,"love,history,secrets",https://covers.openlibrary.org/b/isbn/9785805180317-L.jpg
278,First Compass,Charlotte Martin,British,Children,Picture Book,Italian,2001,361,Cosmos Press,9787932555952,,,4.6,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,history,family",https://covers.openlibrary.org/b/isbn/9787932555952-L.jpg
279,Broken Compass,Mason Garcia,Japanese,Graphic Novel,Action,Korean,2009,833,Macmillan,9789393950222,,,4.55,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,adventure,magic",https://covers.openlibrary.org/b/isbn/9789393950222-L.jpg
280,Broken Garden,James Lopez,Italian,Horror,Gothic,English,1975,820,NeoPress,9782262697747,,,4.26,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,secrets,mystery",https://covers.openlibrary.org/b/isbn/9782262697747-L.jpg
281,Shadows River,Jack Brown,Spanish,Fantasy,Urban Fantasy,English,2000,782,Macmillan,9784139119017,,,3.9,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,crime,adventure",https://covers.openlibrary.org/b/isbn/9784139119017-L.jpg
282,Silent Key,Emma Davis,Japanese,Graphic Novel,Action,Japanese,1965,666,Praia Azul,9789089687913,,,3.6,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,magic,love",https://covers.openlibrary.org/b/isbn/9789089687913-L.jpg
283,Crimson Thread,Liam Davis,French,Fiction,Literary Fiction,Arabic,1990,724,Penguin Random House,9787079790278,,,3.58,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,love,secrets",https://covers.openlibrary.org/b/isbn/9787079790278-L.jpg
284,First Garden,Jack Miller,Pakistani,Nonfiction,History,Hindi,1950,142,Lotus Reads,9780786014781,,,3.33,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,technology,identity",https://covers.openlibrary.org/b/isbn/9780786014781-L.jpg
285,Last House,Amelia Thomas,Brazilian,Mystery,Psychological Thriller,German,1962,173,Macmillan,9787148789455,,,3.3,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,redemption,betrayal",https://covers.openlibrary.org/b/isbn/9787148789455-L.jpg
286,Shadows Garden,Harper Smith,Spanish,Historical Fiction,War-era,Arabic,2000,776,NeoPress,9782594195157,,,4.66,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,redemption,adventure",https://covers.openlibrary.org/b/isbn/9782594195157-L.jpg
287,Golden Promise,Harper Moore,Mexican,Science Fiction,Near-future,Hindi,2021,625,Vintage,9785094220275,,,4.11,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,war,mystery",https://covers.openlibrary.org/b/isbn/9785094220275-L.jpg
288,Golden Promise,Noah Gonzalez,Spanish,Horror,Gothic,French,1983,497,Cambridge Press,9781218645849,,,3.63,,A synthetic sample description generated for dataset testing and demonstrations.,"family,mystery,magic",https://covers.openlibrary.org/b/isbn/9781218645849-L.jpg
289,Golden Orchard,Amelia Gonzalez,Nigerian,Children,Picture Book,English,2004,474,Penguin Random House,9789643279974,,,3.75,,A synthetic sample description generated for dataset testing and demonstrations.,"family,redemption,love",https://covers.openlibrary.org/b/isbn/9789643279974-L.jpg
290,Midnight City,James Rodriguez,Nigerian,Poetry,Modern,Korean,1953,823,Lotus Reads,9780941232159,,,3.29,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,love,mystery",https://covers.openlibrary.org/b/isbn/9780941232159-L.jpg
291,Silent River,Mason Hernandez,Russian,Fiction,Literary Fiction,Japanese,1984,367,Faber & Faber,9781999062484,,,3.99,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,war,mystery",https://covers.openlibrary.org/b/isbn/9781999062484-L.jpg
292,Shadows City,Jack Johnson,Brazilian,Fiction,Literary Fiction,French,1997,663,Macmillan,9784183732170,Series 25,4,4.23,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,crime,war",https://covers.openlibrary.org/b/isbn/9784183732170-L.jpg
293,Crimson River,Mason Rodriguez,Japanese,Fiction,Literary Fiction,Arabic,1982,194,Praia Azul,9781171398806,,,4.43,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,crime,betrayal",https://covers.openlibrary.org/b/isbn/9781171398806-L.jpg
294,Golden Orchard,Liam Martinez,Canadian,Young Adult,Contemporary,Korean,1978,688,Vintage,9787682588262,,,4.24,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,history,family",https://covers.openlibrary.org/b/isbn/9787682588262-L.jpg
295,First Orchard,Amelia Moore,American,Poetry,Modern,Japanese,2001,584,Marea Editore,9788977461741,,,3.88,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,family,identity",https://covers.openlibrary.org/b/isbn/9788977461741-L.jpg
296,Crimson Orchard,Charlotte Jones,Chinese,Fiction,Literary Fiction,Italian,2013,440,Oxford Press,9786648749426,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,betrayal,history",https://covers.openlibrary.org/b/isbn/9786648749426-L.jpg
297,Last House,Benjamin Wilson,British,Fantasy,Urban Fantasy,Chinese,1991,214,Faber & Faber,9784329935762,Series 21,4,3.56,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,adventure,crime",https://covers.openlibrary.org/b/isbn/9784329935762-L.jpg
298,Hidden Key,Sophia Rodriguez,Canadian,Historical Fiction,War-era,Italian,1981,577,Vintage,9787436622228,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,adventure,family",https://covers.openlibrary.org/b/isbn/9787436622228-L.jpg
299,Golden Orchard,Isabella Miller,Irish,Fantasy,Urban Fantasy,French,1964,235,GreenLeaf,9783830959359,Series 2,5,3.35,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,war,mystery",https://covers.openlibrary.org/b/isbn/9783830959359-L.jpg
300,Silent Promise,Noah Smith,Pakistani,Fantasy,Urban Fantasy,Italian,1986,678,Vintage,9788507876533,Series 2,5,4.4,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,family,war",https://covers.openlibrary.org/b/isbn/9788507876533-L.jpg
301,Shadows Key,Mia Jackson,Korean,Thriller,Spy,Italian,2010,430,Lotus Reads,9786100946868,Series 28,6,3.77,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,crime,identity",https://covers.openlibrary.org/b/isbn/9786100946868-L.jpg
302,Broken House,Amelia Taylor,French,Horror,Gothic,Japanese,2010,564,Simon & Schuster,9782394041425,Series 9,3,3.91,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,technology,crime",https://covers.openlibrary.org/b/isbn/9782394041425-L.jpg
303,Midnight City,Aria Lopez,Nigerian,Fiction,Contemporary,English,1956,732,Hachette,9788968312328,,,3.52,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,mystery,adventure",https://covers.openlibrary.org/b/isbn/9788968312328-L.jpg
304,Last Orchard,Henry Taylor,British,Mystery,Crime,Arabic,1950,789,Vintage,9787336491863,,,3.89,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,technology",https://covers.openlibrary.org/b/isbn/9787336491863-L.jpg
305,Broken Orchard,Henry Gonzalez,Pakistani,Speculative,Magical Realism,French,1980,557,Oxford Press,9782178089667,Series 8,4,4.46,,A synthetic sample description generated for dataset testing and demonstrations.,"future,magic,family",https://covers.openlibrary.org/b/isbn/9782178089667-L.jpg
306,Midnight Compass,Emma Hernandez,German,Mystery,Psychological Thriller,Chinese,2006,363,Marea Editore,9780549415886,,,4.69,,A synthetic sample description generated for dataset testing and demonstrations.,"history,secrets,identity",https://covers.openlibrary.org/b/isbn/9780549415886-L.jpg
307,Midnight Key,Luna Smith,Irish,Romance,Contemporary Romance,Korean,1998,95,Riverbend,9783869281193,,,4.05,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,war,magic",https://covers.openlibrary.org/b/isbn/9783869281193-L.jpg
308,Broken Thread,Harper Jones,Spanish,Nonfiction,Memoir,English,1975,827,Macmillan,9781875924202,,,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"family,adventure,war",https://covers.openlibrary.org/b/isbn/9781875924202-L.jpg
309,Golden Orchard,Jack Jackson,British,Nonfiction,History,Spanish,1981,312,Bloomsbury,9780756294946,,,3.81,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,betrayal,love",https://covers.openlibrary.org/b/isbn/9780756294946-L.jpg
310,Golden House,Lucas Martinez,Pakistani,Speculative,Magical Realism,Arabic,1977,281,Cosmos Press,9784257863809,,,3.24,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,mystery,history",https://covers.openlibrary.org/b/isbn/9784257863809-L.jpg
311,Silent Thread,Amelia Jones,Irish,Fantasy,Urban Fantasy,Chinese,1984,792,Oxford Press,9781412848688,Series 11,5,4.21,,A synthetic sample description generated for dataset testing and demonstrations.,"history,mystery,love",https://covers.openlibrary.org/b/isbn/9781412848688-L.jpg
312,Golden River,Emma Gonzalez,Pakistani,Graphic Novel,Action,Arabic,1984,636,Simon & Schuster,9781876649562,,,4.61,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,secrets,technology",https://covers.openlibrary.org/b/isbn/9781876649562-L.jpg
313,Shadows Compass,Emma Brown,American,Science Fiction,Near-future,Japanese,2017,880,Vintage,9788131898161,Series 19,1,4.6,,A synthetic sample description generated for dataset testing and demonstrations.,"history,magic,secrets",https://covers.openlibrary.org/b/isbn/9788131898161-L.jpg
314,Crimson City,Sophia Hernandez,Russian,Horror,Gothic,Italian,2022,578,NeoPress,9782269892442,,,4.26,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,crime,love",https://covers.openlibrary.org/b/isbn/9782269892442-L.jpg
315,Crimson Orchard,Mia Wilson,Russian,Fiction,Contemporary,Portuguese,2013,364,Lotus Reads,9784982806287,Series 12,1,3.74,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,identity,secrets",https://covers.openlibrary.org/b/isbn/9784982806287-L.jpg
316,Crimson Garden,Liam Lopez,Mexican,Mystery,Crime,Chinese,1981,221,Oxford Press,9782364184039,,,3.37,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,secrets,redemption",https://covers.openlibrary.org/b/isbn/9782364184039-L.jpg
317,Broken Lantern,Jack Hernandez,British,Fiction,Literary Fiction,Hindi,1982,700,Faber & Faber,9784084989758,,,3.57,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,magic,future",https://covers.openlibrary.org/b/isbn/9784084989758-L.jpg
318,Hidden Orchard,Emma Gonzalez,Irish,Nonfiction,History,Korean,1965,673,Willow Books,9781615708994,Series 16,1,3.5,,A synthetic sample description generated for dataset testing and demonstrations.,"love,mystery,identity",https://covers.openlibrary.org/b/isbn/9781615708994-L.jpg
319,Shadows Compass,Sophia Martinez,Egyptian,Science Fiction,Space Opera,Portuguese,1978,293,NovaWorks,9787423501321,,,3.3,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,technology,adventure",https://covers.openlibrary.org/b/isbn/9787423501321-L.jpg
320,Broken Promise,Olivia Johnson,Nigerian,Mystery,Crime,Japanese,1986,143,Cambridge Press,9782775710131,,,3.88,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,redemption,war",https://covers.openlibrary.org/b/isbn/9782775710131-L.jpg
